#Table1
objid,ra,dec,specobjid,ra1,dec1
1237678858477109472,12.8579991355913,11.8853321651156,6424529007900121088,12.858001,11.88533
1237678859549671932,10.1400562982456,12.7785441351812,6982951174132750336,10.140055,12.778545
1237678918061589098,10.3120306948269,11.3815471147833,6981972332563945472,10.31203,11.381547
1237678858476126545,10.477237989596,11.9246185849933,6368351381649381376,10.477236,11.924614
1237679319093936933,10.6450762284103,10.35267830357,6986324199603460096,10.645075,10.352675
1237679320167678476,10.6451266920192,11.2063539442946,6368364026033100800,10.645125,11.206351
1237679319093936935,10.6456527841998,10.3164354446127,6986331896184854528,10.645652,10.316433
1237678858476191883,10.7762597270794,11.9190523220045,6982911591714150400,10.776259,11.919054
1237678859549934245,10.7764438152801,12.7119202206096,12432281196448471040,10.776444,12.71192
1237678907324039414,10.7776003376968,10.4165529436607,5114065623404795904,10.777602,10.416553
1237678907324104867,10.9157948245461,10.4705944050516,6986312929609275392,10.915794,10.470596
1237678907860975739,10.9174316216,10.9710019936506,6986317877411600384,10.917434,10.971002
1237678918598787449,11.0535638644831,11.603658302411,6982887952214153216,11.053564,11.603656
1237678859550130645,11.1820295778925,12.8039422710936,12432260030849636352,11.18203,12.803942
1237678907861106707,11.183559233249,10.8533757135531,6986303583760439296,11.18356,10.853377
1237679319094199118,11.32624629131,10.1644270992154,12438044011130017792,11.326246,10.164427
1237678906787430777,11.3266186475158,10.1300647181584,12438046759909087232,11.326619,10.130065
1237678919135789512,11.4717201140567,12.1931673033158,6982863762958342144,11.471719,12.193165
1237678919672726113,11.6234515739811,12.5095747707259,6982867886126946304,11.623452,12.50957
1237678859550392778,11.7723171274773,12.8134869613348,6982858540278110208,11.772316,12.813484
1237678907324498390,11.7735035494071,10.365716349037,5116239633139914752,11.773502,10.365715
1237678859550458031,11.8998434330088,12.8193059964192,12432228969646151680,11.899843,12.819306
1237679320168202692,11.9008776442766,11.0216777587821,6986259328417421312,11.900878,11.021674
1237679319094526595,12.0527106740851,10.1506406726907,6986244485010446336,12.052711,10.150641
1237678918062375658,12.1939773410263,11.199966269287,6986240636719749120,12.193979,11.199958
1237678920209858995,12.1940193213068,12.8409365423601,6987465493646170112,12.194024,12.840937
1237678918599246653,12.1950212350146,11.6867511016937,6986452842463909888,12.195021,11.686748
1237678920209858997,12.1951941721451,12.9237756327659,6987464943890356224,12.195196,12.923776
1237678857940107591,12.4808272132637,11.5117686187176,6986474282940651520,12.480827,11.511774
1237678919136378996,12.8224627963333,12.1396505232553,6987434432442685440,12.822465,12.139649
1237678833756602658,12.8226106147062,10.2612224416794,5116295433355024384,12.82261,10.261223
1237678919673316164,12.9881076525259,12.4133574318251,6987425911227570176,12.98811,12.413351
1237678919673316157,12.9885303668744,12.5286734416404,6987427010739197952,12.988532,12.528667
1237678907323777558,10.1790015150306,10.4037986902904,6981721094156998656,10.178998,10.403795
1237678918061523660,10.1799346854874,11.2262947369397,6986357184952293376,10.179933,11.226298
1237678920209007380,10.1804388188386,12.8749166713141,12432316930576373760,10.180439,12.874917
1237678919135265001,10.1808002237789,12.0490553015212,6368350007259846656,10.180798,12.049059
1237678918598459724,10.2735473373066,11.7203828432916,6368350282137753600,10.273546,11.720383
1237679319630611174,10.273872915449,10.6570011299483,5114030164154800128,10.273873,10.657003
1237678920209072729,10.2740072109054,12.9109403671637,6982941003650193408,10.274003,12.910942
1237678920209072950,10.4202164272712,12.9357881487244,12432305385704282112,10.420216,12.935788
1237679319630741928,10.5654801998159,10.6611620198875,5114052429265262592,10.56548,10.661162
1237678920209203465,10.6750880318833,12.8627460590189,6982918738539730944,10.675091,12.862746
1237678918598656336,10.8099416600968,11.6433518136336,6982909942446708736,10.809939,11.643352
1237678918061785745,10.8105370913836,11.2960204093599,6986381923963918336,10.810532,11.296018
1237678859013194020,10.9522695271178,12.3045093296559,6982902795621128192,10.952269,12.304509
1237678858476322957,10.9531193009789,11.962487489113,6982900046842058752,10.953122,11.962488
1237678918598787887,11.0842751719175,11.722340957147,12432277348157773824,11.084275,11.722341
1237678920209465677,11.2167312634482,12.8650082494881,6982884928557176832,11.216731,12.865005
1237679320167875456,11.218485705965,11.1303989353314,6986304408394160128,11.218486,11.130398
1237678906787496350,11.5053811117931,10.014843020661,12438068200385828864,11.505381,10.014843
1237678918062113157,11.5059291032933,11.2004892209668,6986284617184860160,11.505926,11.200489
1237678919672725804,11.5075327717686,12.4579092010378,6986414359556937728,11.507533,12.457907
1237678920209596940,11.6386414392525,12.9040217648185,6982869260516481024,11.638639,12.904017
1237678919672791216,11.6391758654968,12.4378411135793,6982865412225783808,11.63918,12.437839
1237678919135920291,11.6395364726117,12.1057612012024,6986416558580193280,11.639534,12.10576
1237679319631332112,11.9350514437968,10.6701172743771,6986257129394165760,11.935049,10.670115
1237678858476716197,11.9358351991103,11.9337463078454,12432220173553129472,11.935835,11.933746
1237678907324563794,11.9363629038639,10.4401128686334,6986255480126724096,11.936361,10.440111
1237678857939911284,12.0588611886999,11.453687139015,6986449543929026560,12.058858,11.453685
1237678859013718245,12.1996682865555,12.2129511127932,12432212476971735040,12.199668,12.212951
1237678918062375663,12.199988408704,11.3059181586222,6986241736231376896,12.19999,11.305912
1237678834830017029,12.2005273323114,11.1073554905959,6986238987452307456,12.200528,11.107354
1237678859013783860,12.3598932513875,12.2296717816341,6986467685870884864,12.359888,12.229676
1237678907861631450,12.4899125113014,10.8908691386784,6986227717458122752,12.489911,10.890867
1237678834830148016,12.4901020931525,11.0536506316476,6986227992336029696,12.490099,11.05365
1237678920210055512,12.6183903804624,12.9678848642618,6987444328047335424,12.61839,12.967888
1237678906787954890,12.6184180322355,10.0066999544872,5116277291413166080,12.618418,10.006702
1237678906788020434,12.7785778061382,10.0710538888265,12446976993433769984,12.778578,10.071054
1237678834830344703,12.9450087823907,11.057656034518,6424519936929191936,12.945007,11.057653
1237678920210186403,12.9452525152908,12.9644055693275,6987431683663616000,12.945245,12.964403
1237678859012800630,10.0756543032327,12.2939153756245,6981953915744180224,10.075654,12.293917
1237678859549802733,10.3722508696745,12.7340127774799,12432305110826375168,10.372251,12.734013
1237678859013063045,10.6710820758311,12.2611215655061,6986363507144153088,10.671081,12.261119
1237678859549934291,10.6716522316718,12.729661755235,12432292741320562688,10.671652,12.729662
1237679320167743940,10.8286298507883,11.0700294955636,6986318702045321216,10.828632,11.07003
1237678919672463531,10.9727701592959,12.46100796745,6982893449772292096,10.972768,12.461007
1237679319630938577,10.973131222035,10.6169464518542,12438010201147463680,10.973131,10.616946
1237678918061851045,10.9737891824715,11.3646420212284,6986392369324382208,10.973786,11.364638
1237678906787234485,10.97432670087,10.0984639396807,5114077992910608384,10.974323,10.098463
1237679319631004701,11.1222085474282,10.5976334798954,12438031091868391424,11.122209,10.597633
1237679319094198911,11.2659492108285,10.1558407266383,12438034390403274752,11.265949,10.155841
1237678907324235995,11.2672087428068,10.535548489516,5114103556555954176,11.267208,10.535549
1237679320167940595,11.2676949500508,10.9978920161109,6986293138399975424,11.267694,10.997891
1237678918598918668,11.4354514020068,11.6697934706296,6982859639789737984,11.435449,11.669794
1237678859550261341,11.4360357586334,12.8125418711685,12432251234756614144,11.436036,12.812542
1237678918062113042,11.5888582740672,11.3335913134146,6986428378330191872,11.588858,11.333593
1237678859550326870,11.5892862207393,12.6769699458737,12432239140128708608,11.589286,12.67697
1237678906787561690,11.5909341625122,10.1426754115129,6986275821091837952,11.590931,10.142676
1237679319094395680,11.7412639204781,10.3306779616183,5116239083384100864,11.741264,10.330676
1237678906787758678,12.0721914085342,10.0056646696204,6986242285987190784,12.072189,10.00566
1237679320168267999,12.0723612962252,11.0712818892168,6986251906713933824,12.072361,11.07128
1237678858476781982,12.0725537085499,11.8817348530855,6986446520272050176,12.072554,11.881735
1237678919672922633,12.0735487298406,12.5844197752515,6982849744185088000,12.073548,12.584419
1237678859013783962,12.4029761337787,12.2336651690669,6987446801948497920,12.40297,12.233669
1237678918599442847,12.5726768455795,11.63877075698,6986476207086000128,12.572675,11.638776
1237678920210121026,12.746000893338,12.847605452033,6987442953657800704,12.745997,12.847603
1237678919136445054,12.9131288960165,12.0954516908757,6424526533998958592,12.913129,12.095442
1237679319093674894,10.0249069309613,10.3382395074234,6981732639029090304,10.024906,10.338238
1237679320167416545,10.0259141904895,11.1196984493731,6368347533358684160,10.025912,11.119694
