#Table1
specobjid,ra,dec
6982928909022287872,10.377624,12.720983
12437992059205605376,10.378001,10.054422
12432302636925212672,10.378973,12.617278
6981713672453511168,10.380139,10.899035
6368102342265690112,10.38076,10.129803
6982931382923450368,10.381471,11.604096
6982931932679264256,10.382211,11.823176
6368096020073830400,10.382923,10.647037
6368359078230775808,10.383991,11.227404
12432308134483351552,10.385429,12.085664
12432306210338002944,10.386474,12.93905
12437989585304442880,10.386701,10.400853
6982930558289729536,10.387225,12.400747
6982929458778101760,10.38748,12.819908
6986361308120897536,10.389948,11.173034
6982930283411822592,10.389986,12.92445
6368355779695892480,10.391408,11.337608
6981720544401184768,10.391637,10.286926
5114045557317588992,10.392044,10.098227
12432302911803119616,10.392542,12.63201
6981714771965138944,10.394089,10.979138
6368357978719148032,10.394553,11.097422
5114043358294333440,10.396054,10.690046
6983007798981580800,10.396183,12.998811
6368098493974992896,10.396998,10.874387
6986362132754618368,10.398126,11.328568
6982928084388567040,10.400605,12.770417
12432312532529862656,10.400744,12.525336
6982933307068798976,10.401391,11.954063
12437990409938163712,10.403878,10.187159
12437989860182349824,10.404608,10.152568
6981974806465107968,10.406816,11.227568
6368100967876155392,10.407312,11.065741
5114043908050147328,10.408518,10.166126
6368354405306357760,10.408672,11.671178
5114045832195495936,10.40943,10.070898
6986339317888342016,10.410398,11.102899
5114045282439682048,10.412107,10.000563
6986347014469736448,10.412957,12.072481
5114044457805961216,10.413541,10.224706
6986347839103457280,10.413637,12.123996
6981969308906969088,10.413981,11.778475
6982933032190892032,10.415097,11.987777
12437987936037001216,10.416585,10.451938
6368100143242434560,10.416655,10.992569
12437987661159094272,10.418095,10.654228
12432313357163583488,10.419081,12.485975
12432305385704282112,10.420216,12.935788
6981966285249992704,10.424455,11.910882
12432311707896141824,10.428624,12.280223
12437987111403280384,10.428867,10.414156
12432304561070561280,10.429355,12.720758
12432304835948468224,10.429427,12.863956
5114041159271077888,10.42963,10.682817
5114043083416426496,10.430602,10.613926
6986340417399969792,10.430891,11.030029
6368362101887752192,10.431173,11.667671
6368353855550543872,10.431347,11.7893
12432311433018234880,10.43293,12.380807
6368361002376124416,10.432987,11.599607
6982934406580426752,10.43302,12.230029
6368353305794729984,10.433023,11.843649
6986336569109272576,10.433212,10.77982
12432304011314747392,10.433627,12.676868
6981711473430255616,10.433733,10.587411
5114044182928054272,10.43519,10.337558
