#Table1
objid,ra,dec
1237678919135265765,10.1312398333838,12.108293020253
1237678859012800701,10.1312920103601,12.3029261467258
1237678858475930175,10.1313112537445,11.9602192104464
1237678918598394459,10.1313278122502,11.7765592160335
1237678859549672183,10.1313484952947,12.7780063316265
1237679319093675040,10.131402723756,10.2921123253713
1237678918061523123,10.131430780035,11.3536877166651
1237678857939058750,10.1314500191919,11.6101501759451
1237678919672135994,10.1314799703062,12.6104665236812
1237679319093674815,10.1315000010248,10.3360432290818
1237678907860648340,10.1315070971226,10.9561060640839
1237678919672135993,10.1315120689262,12.6267828763885
1237678918598394219,10.1315138458081,11.7672171504368
1237678907323777430,10.1315290380375,10.5732747449015
1237678906786840693,10.0013235780535,10.1390526871372
1237678907323712268,10.0013327422663,10.535053765692
1237678859012735865,10.0013343395822,12.283010708691
1237678919672070448,10.0013411955538,12.6512605019796
1237678918061458194,10.0013422947186,11.2826255478359
1237678907860582803,10.0013555337235,10.8563769225371
1237679320167351226,10.0013735307452,11.1459037885763
1237678857938993800,10.0013902170229,11.4417961811398
1237679319630546045,10.0013970602333,10.775879573985
1237678919672070772,10.0014217361498,12.4752155689468
1237678919135200068,10.0014372168087,12.1787568829361
1237678858475864652,10.0014380566115,11.8382763899221
1237678919135199917,10.0014445808933,12.0715537532422
1237678919672070454,10.001450571496,12.5967545982017
1237678918061458292,10.0014633026014,11.3346478065686
1237678907860582435,10.0014862072148,10.8922926273273
1237678918598328457,10.0014910758558,11.6222253879179
1237678919135199436,10.001505458321,12.0934824001643
1237678907323712270,10.0015121831821,10.5391335989808
1237678920208942111,10.0015650002069,12.9763048941034
1237678859012735507,10.0015909976132,12.2558117550159
1237678918061458029,10.001608996697,11.3931667324731
1237679319093674039,10.0016274217735,10.2959278988414
1237678907323712494,10.001630900756,10.4724705029929
1237678919672070450,10.0016362824849,12.6488778701146
1237678859012735501,10.0016604897313,12.4085821216859
1237678859549606135,10.0016608337216,12.7875363667021
1237678907323712273,10.0016803088423,10.4558930853731
1237678858475864227,10.0016929643779,11.8827511101828
1237678918598329167,10.0017026161871,11.7102938116851
1237679319093674056,10.0017058735505,10.2850557149556
1237678857938993547,10.0017312135221,11.5566812318519
1237678919135199376,10.0017315805354,12.1163844120691
1237678907323711991,10.0017617062309,10.393018760459
1237678918598328341,10.0017887909025,11.7340814715449
1237679319093674077,10.0017916733844,10.2610728739795
1237679320167350940,10.0018256985691,11.0738792680154
1237678857938993987,10.0018479576657,11.531659087451
1237679319093675085,10.0019218352639,10.3015139267786
1237679320167351274,10.0019849541504,11.1817353985732
1237678859549606792,10.0020437462064,12.7224099425326
1237678859012735797,10.0020860467765,12.3471419864575
1237678918598329309,10.0021041774756,11.6980580675913
1237678859549605980,10.002104566205,12.8623779716195
1237679319630545270,10.0021051620524,10.660888015384
1237678920208941091,10.0021280013905,12.8948505265618
1237678906786841166,10.0021490433929,10.1522296886515
1237679320167350943,10.0021746950559,11.0717040145876
1237679319093675084,10.0021843086473,10.3724433959966
1237679320167350374,10.0021899141752,11.2025881950122
1237678918061457424,10.0021915592387,11.2025713705422
1237678918598329051,10.0022686698521,11.8011480656978
1237678907323711982,10.0022731503481,10.5629379516649
1237678858475864995,10.0022784576392,11.9685311790233
1237678859549605979,10.0022798651357,12.865452154358
1237679320167351228,10.0023037444062,11.0323395525105
1237678918598328347,10.0023054912844,11.7441116638303
1237678907323711976,10.0023067245979,10.5460983926888
1237678907860582436,10.0023243993109,10.8870753984804
1237678857938994074,10.0023380814274,11.5161936179225
1237678919135199619,10.0023412544416,12.1381234645383
1237678918061458030,10.0023421207935,11.3174090295709
1237678907323712274,10.0023503209912,10.4430487276916
1237678918598328780,10.0023684770116,11.6628386597394
1237678906786840851,10.002379578913,10.1619808644337
1237678919672070770,10.0024379922316,12.5360722297289
1237678907323712495,10.0024525681998,10.5107137750519
1237679319630544902,10.0024535604799,10.6273288415685
1237678858475864645,10.0024559167904,12.005511570873
1237679319630545280,10.0024813868019,10.6290106409373
1237678857938993796,10.0024917018633,11.5503099615059
1237678907323711974,10.0024923347719,10.55864901378
1237678857938993988,10.0024929980355,11.52131830605
1237678859012735662,10.0025038338422,12.3583278581797
1237679319093674474,10.0025147025225,10.3815422091761
1237678859549606916,10.0025368447619,12.8596052372735
1237678907323712279,10.0025689461692,10.3816491980719
1237679319630545744,10.0025908991954,10.6805311381116
1237679319093674041,10.0025940838801,10.2665152694344
1237678857938993337,10.0025943352249,11.5080365156633
1237678919672070458,10.0026296041215,12.4543293468765
1237679319093674479,10.0026334066065,10.3365676234603
1237678919672070457,10.0026366844946,12.4972644220391
1237678857939058957,10.0026489700485,11.4334663048812
1237678918598329053,10.0026660300023,11.6369351100185
1237678918061457633,10.0026676596048,11.319214114152
1237679319093674026,10.0026705959353,10.2695539286171
1237678906786841163,10.0026897873748,10.1703355635274
1237678918598328781,10.0026938514002,11.6768538995859
1237679320167351265,10.0027032963453,11.0126804539867
1237679319630545741,10.0027034905668,10.7114397525146
1237678906786841165,10.0027225080021,10.1527566019568
1237679320167350941,10.0027258430319,11.075770763025
1237678906786840852,10.0027495665701,10.161092220601
1237679320167351227,10.0027683624346,11.0934100394625
1237678907860582811,10.0027832086284,10.811054024244
1237678858475864646,10.0027847257338,12.0054038642374
1237679319630544909,10.0027949665514,10.7635165635855
1237679319630545742,10.0028138372641,10.7156686399212
1237678858475864203,10.0028229211909,11.9185297440772
1237678857939058887,10.0028230003816,11.4525961934434
1237679320167351264,10.0028240350357,11.1333332453584
1237678907323712528,10.0028258049321,10.4315440212051
1237678859549606917,10.0028313337903,12.8430102924821
1237679319093674032,10.0028758078125,10.2798727247141
1237678918598328531,10.0028882780467,11.6456087866564
1237678859012735798,10.0028981058315,12.362790851595
1237679319093674069,10.0029017179931,10.2742279098839
1237678858475864934,10.0029089413655,11.9380211171413
1237678857938993798,10.0029136232583,11.5797416363381
1237678918598328593,10.0029138334634,11.6590761156184
1237679319630545745,10.0029328632862,10.6812123829001
1237678919135199629,10.002940016579,12.0353867259283
1237678859012735830,10.0029462308872,12.2599210509993
1237679319093675086,10.0029652045566,10.3695136709345
1237679319630545099,10.002978678311,10.6987012425948
1237678907323711988,10.0029801736962,10.5087545794707
1237678919672070777,10.0030087955037,12.4721975644409
1237679319093674389,10.0030145484548,10.2439295719215
1237678920208942112,10.0030577047393,12.9464407248888
1237678858475864803,10.0030707773901,12.0316601390368
1237678919135199627,10.0030790536038,12.0558532458675
1237678907323711992,10.0030867603559,10.3941756397862
1237678907323711618,10.0031628530417,10.4862918024939
1237678859549606795,10.0031791476175,12.6879443806846
1237678919135199617,10.0031929845715,12.1864951019989
1237678918598328346,10.0031932924221,11.7352826971903
1237678919672070773,10.0032230829537,12.5341637346125
1237678919135199916,10.0032749392483,12.2407038773346
1237679319093674480,10.0032803718543,10.3624580569878
1237678859549606591,10.0032879371805,12.7532714364898
1237678919672070455,10.0032913698183,12.6328918243076
1237678919672070926,10.0032980114471,12.6526690718053
1237678907323711984,10.0033145191026,10.5627060662375
1237678859012735122,10.0033145267057,12.3882517924803
